Bracket Type=4,,,,,
File Name,Comment,Path,Instrument Method,Position,Inj Vol
2017_January_23_envtstress_QC1,QC,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\PRTC_UWPRLumos_30min_DIA_fullms,"1:C,1",3
2017_January_23_envtstress_QC2,QC,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\PRTC_UWPRLumos_30min_DIA_fullms,"1:C,1",3
2017_January_23_envtstress_QC3,QC,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\PRTC_UWPRLumos_30min_DIA_fullms,"1:C,1",3
2017_January_23_envtstress_QC4,QC,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\PRTC_UWPRLumos_30min_DIA_fullms,"1:C,1",3
2017_January_23_envtstress_blank1,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck1,geoduck48,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,1",3
2017_January_23_envtstress_blank2,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_blank2_2,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck2,geoduck131,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,2",3
2017_January_23_envtstress_blank3,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck3,geoduck10,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,3",3
2017_January_23_envtstress_blank4,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck4,geoduck68,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,4",3
2017_January_23_envtstress_blank5,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck5,geoduck97,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,6",3
2017_January_23_envtstress_blank6,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck6,geoduck58,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,7",3
2017_January_23_envtstress_blank7,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck7,geoduck119,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,8",3
2017_January_23_envtstress_blank8,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck8,geoduck92,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:B,1",3
2017_January_23_envtstress_blank9,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck9,geoduck18,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:B,2",3
2017_January_23_envtstress_blank10,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck10,geoduck77,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:B,3",3
2017_January_23_envtstress_blank11,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck11,geoduck119,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,8",3
2017_January_23_envtstress_blank12,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck12,geoduck77,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:B,3",3
2017_January_23_envtstress_blank13,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck13,geoduck48,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,1",3
2017_January_23_envtstress_blank14,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck14,geoduck58,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,7",3
2017_January_23_envtstress_blank15,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck15,geoduck18,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:B,2",3
2017_January_23_envtstress_blank16,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck16,geoduck131,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,2",3
2017_January_23_envtstress_blank17,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck17,geoduck97,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,6",3
2017_January_23_envtstress_blank18,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck18,geoduck68,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,4",3
2017_January_23_envtstress_blank19,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck19,geoduck92,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:B,1",3
2017_January_23_envtstress_blank20,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
