Box #,Round,Bay,Spp,Habitat,Exclosure,Rep,PRVial,Sample Shorthand,MS/MS Start Date,File Name rep 1,File Name rep 2,File Name rep 3,File Name rep 4,Notes
1,1,CI,Pg,B,CIB-4,1,G011,CI-B,,,,,,
1,1,CI,Pg,B,CIB-4,2,G012,CI-B,7/18/17,159,234,294,,
1,1,CI,Pg,B,CIB-4,3,G013,CI-B,7/18/17,140,,202,,
1,1,CI,Pg,B,CIB-4,4,G014,CI-B,7/18/17,180,257,,,
1,1,CI,Pg,B,CIB-5,1,G015,CI-B,7/18/17,162,238,,,
1,1,CI,Pg,B,CIB-5,2,G016,CI-B,7/18/17,152,224,293,,
1,1,CI,Pg,B,CIB-5,3,G017,CI-B,7/18/17,143,205,,,
1,1,CI,Pg,B,CIB-5,4,G018,CI-B,1/23/17,geoduck9,geoduck15,,,
1,1,CI,Pg,B,CIB-5,5,G019,CI-B,,,,,,
2,1,CI,Pg,E,CIE-1,1,G005,CI-E,,,,,,
2,1,CI,Pg,E,CIE-2,1,G001,CI-E,7/18/17,194,263,,,
2,1,CI,Pg,E,CIE-2,2,G002,CI-E,7/18/17,149,222,291,,
2,1,CI,Pg,E,CIE-2,3,G003,CI-E,7/18/17,178,254,298,,
2,1,CI,Pg,E,CIE-2,4,G004,CI-E,7/18/17,,,,,
2,1,CI,Pg,E,CIE-3,1,G006,CI-E,,,,,,
2,1,CI,Pg,E,CIE-3,2,G007,CI-E,7/18/17,191,261,,,
2,1,CI,Pg,E,CIE-3,3,G008,CI-E,7/18/17,166,241,,,
2,1,CI,Pg,E,CIE-3,4,G009,CI-E,7/18/17,148,221,,,
2,1,CI,Pg,E,CIE-3,5,G010,CI-E,1/23/17,geoduck3,geoduck20,,,
1,1,FB,Pg,B,FBB-4,3,G041,FB-B,7/18/17,170,245,,,
1,1,FB,Pg,B,FBB-4,2,G042,FB-B,7/18/17,186,270,297_170728020436,,
1,1,FB,Pg,B,FBB-4,1,G043,FB-B,7/18/17,161,236,,,
1,1,FB,Pg,B,FBB-5,4,G057,FB-B,7/18/17,190,271,298_170728031737,,
1,1,FB,Pg,B,FBB-5,3,G058,FB-B,1/23/17,geoduck6,geoduck14,,,
1,1,FB,Pg,B,FBB-5,2,G059,FB-B,,,,,,
1,1,FB,Pg,B,FBB-5,1,G060,FB-B,7/18/17,147,220,,,
1,1,FB,Pg,B,FBB-6,5,G036,FB-B,,,,,,
1,1,FB,Pg,B,FBB-6,4,G037,FB-B,,,,,,
1,1,FB,Pg,B,FBB-6,3,G038,FB-B,,,,,,
1,1,FB,Pg,B,FBB-6,2,G039,FB-B,,,,,,
1,1,FB,Pg,B,FBB-6,1,G040,FB-B,7/18/17,164,239,,,
2,1,FB,Pg,E,FBE-1,5,G044,FB-E,,,,,,
2,1,FB,Pg,E,FBE-1,4,G045,FB-E,7/18/17,155,228,,,
2,1,FB,Pg,E,FBE-1,3,G047,FB-E,7/18/17,142,204,,,
2,1,FB,Pg,E,FBE-1,2,G048,FB-E,1/23/17,geoduck1,geoduck13,,,
2,1,FB,Pg,E,FBE-1,1,G049,FB-E,7/18/17,182,258,,,
2,1,FB,Pg,E,FBE-2,5,G050,FB-E,,,,,,
2,1,FB,Pg,E,FBE-2,4,G051,FB-E,,,,,,
2,1,FB,Pg,E,FBE-2,3,G052,FB-E,,,,,,
2,1,FB,Pg,E,FBE-2,2,G053,FB-E,7/18/17,183,212,288,296_170728054337,
2,1,FB,Pg,E,FBE-2,1,G054,FB-E,7/18/17,176,252,,,
2,1,FB,Pg,E,FBE-3,2,G046,FB-E,,,,,,
2,1,FB,Pg,E,FBE-3,3,G055,FB-E,7/18/17,185,267,298_170728080936,,
2,1,FB,Pg,E,FBE-3,1,G056,FB-E,,,,,,
1,1,PG,Pg,B,PGB-4,1,G061,PG-B,,,,,,
1,1,PG,Pg,B,PGB-4,2,G062,PG-B,7/18/17,,201,265,,
1,1,PG,Pg,B,PGB-4,3,G063,PG-B,,,,,,
1,1,PG,Pg,B,PGB-4,4,G064,PG-B,7/18/17,188,259,,,
1,1,PG,Pg,B,PGB-4,5,G065,PG-B,,,,,,
1,1,PG,Pg,B,PGB-5,1,G078,PG-B,,,,,,
1,1,PG,Pg,B,PGB-5,2,G079,PG-B,7/18/17,144,207,,,
1,1,PG,Pg,B,PGB-5,3,G080,PG-B,,,,,,
1,1,PG,Pg,B,PGB-5,4,G081,PG-B,7/18/17,177,253,,,
1,1,PG,Pg,B,PGB-6,1,G066,PG-B,7/18/17,171,246,,,
1,1,PG,Pg,B,PGB-6,2,G067,PG-B,,,,,,
1,1,PG,Pg,B,PGB-6,3,G068,PG-B,1/23/17,geoduck4,geoduck18,,,
1,1,PG,Pg,B,PGB-6,4,G069,PG-B,,,,,,
1,1,PG,Pg,B,PGB-6,5,G070,PG-B,7/18/17,192,272,299,,
2,1,PG,Pg,E,PGE-1,1,G075,PG-E,,,,,,
2,1,PG,Pg,E,PGE-1,2,G076,PG-E,,,,,,
2,1,PG,Pg,E,PGE-1,3,G077,PG-E,1/23/17,geoduck10,geoduck12,,,
