Region,Bay,Habitat,Both,Exclosure,IShell1,IShell2,IShell3,IShell4,IShell5
South,CI,U,CI-U,CIU-4,16,14,16,15,17
South,CI,U,CI-U,CIU-5,17,16,18,16,15
South,CI,E,CI-E,CIE-1,18,15,13,15,16
South,CI,E,CI-E,CIE-2,18,16,15,15,16
South,CI,E,CI-E,CIE-3,15,15,14,15,15
North,FB,U,FB-U,FBU-4,14,16,14,13,14
North,FB,U,FB-U,FBU-5,16,15,15,16,16
North,FB,U,FB-U,FBU-6,16,17,14,15,15
North,FB,E,FB-E,FBE-1,16,17,13,13,14
North,FB,E,FB-E,FBE-2,15,14,15,16,15
North,FB,E,FB-E,FBE-3,14,16,15,14,16
North,PG,U,PG-U,PGU-4,16,14,16,14,16
North,PG,U,PG-U,PGU-5,17,14,12,16,15
North,PG,U,PG-U,PGU-6,16,13,14,15,15
North,PG,E,PG-E,PGE-1,12,13,16,14,14
North,PG,E,PG-E,PGE-2,15,13,13,13,18
North,PG,E,PG-E,PGE-3,13,15,16,14,13
South,WB,U,WB-U,WBU-4,16,15,12,15,14
South,WB,U,WB-U,WBU-5,16,15,12,15,14
South,WB,U,WB-U,WBU-6,16,16,15,14,13
South,WB,E,WB-E,WBE-1,13,12,15,14,13
South,WB,E,WB-E,WBE-2,13,14,14,14,14
South,WB,E,WB-E,WBE-3,13,16,18,13,16
