"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","metric","Response","Comparison","Stat","P.adj"
"Habitat",1,0.199543103835546,0.199543103835546,22.2433612995756,0.00526001811373631,"pH","Habitat","Habitat","Mean",0.0210400724549453
"Residuals",5,0.044854530110823,0.00897090602216461,NA,NA,"pH","Residuals","Habitat","Mean",NA
"Bay",3,0.0930405588742399,0.0310135196247466,0.614709017268613,0.650451857648913,"pH","Bay","Bay","Mean",2.60180743059565
"Residuals1",3,0.151357075072129,0.0504523583573763,NA,NA,"pH","Residuals","Bay","Mean",NA
"Region",1,0.0412140864077332,0.0412140864077332,1.0142082591578,0.360118209163662,"pH","Region","Region","Mean",1.44047283665465
"Residuals2",5,0.203183547538635,0.0406367095077271,NA,NA,"pH","Residuals","Region","Mean",NA
"Habitat1",1,0.000876154221215121,0.000876154221215121,4.08521997130743,0.09921922747243,"pH","Habitat","Habitat","Var",0.39687690988972
"Residuals3",5,0.00107234644323781,0.000214469288647563,NA,NA,"pH","Residuals","Habitat","Var",NA
"Bay1",3,0.00130453414101607,0.000434844713672024,2.02577943656721,0.288385888991155,"pH","Bay","Bay","Var",1.15354355596462
"Residuals4",3,0.000643966523436862,0.000214655507812287,NA,NA,"pH","Residuals","Bay","Var",NA
"Region1",1,0.00106393156774352,0.00106393156774352,6.01384092944991,0.0577718243618022,"pH","Region","Region","Var",0.231087297447209
"Residuals5",5,0.000884569096709413,0.000176913819341883,NA,NA,"pH","Residuals","Region","Var",NA
"Habitat2",1,0.0027803662995174,0.0027803662995174,0.00152103963250308,0.970155281217745,"DO","Habitat","Habitat","Mean",3.88062112487098
"Residuals6",6,10.9676286144179,1.82793810240298,NA,NA,"DO","Residuals","Habitat","Mean",NA
"Bay2",3,9.06230383154948,3.02076794384983,6.33249786085866,0.0533190130971998,"DO","Bay","Bay","Mean",0.213276052388799
"Residuals7",4,1.90810514916793,0.477026287291983,NA,NA,"DO","Residuals","Bay","Mean",NA
"Region2",1,5.73588576003195,5.73588576003195,6.57467989141619,0.0426716902906252,"DO","Region","Region","Mean",0.170686761162501
"Residuals8",6,5.23452322068545,0.872420536780908,NA,NA,"DO","Residuals","Region","Mean",NA
"Habitat3",1,13.7360922222562,13.7360922222562,0.17863364471539,0.687278139839132,"DO","Habitat","Habitat","Var",2.74911255935653
"Residuals9",6,461.371951878653,76.8953253131089,NA,NA,"DO","Residuals","Habitat","Var",NA
"Bay3",3,415.52486607909,138.50828869303,9.29848277930444,0.0282259663167708,"DO","Bay","Bay","Var",0.112903865267083
"Residuals10",4,59.5831780218196,14.8957945054549,NA,NA,"DO","Residuals","Bay","Var",NA
"Region3",1,327.984364138315,327.984364138315,13.3758629836489,0.0106135089957694,"DO","Region","Region","Var",0.0424540359830774
"Residuals11",6,147.123679962595,24.5206133270991,NA,NA,"DO","Residuals","Region","Var",NA
"Habitat4",1,2.75728648604403,2.75728648604403,0.131500649951952,0.735229869068606,"Salinity","Habitat","Habitat","Mean",2.94091947627442
"Residuals12",4,83.871417732201,20.9678544330502,NA,NA,"Salinity","Residuals","Habitat","Mean",NA
"Bay4",3,83.0746001461935,27.6915333820645,15.5828489097006,0.060904710922818,"Salinity","Bay","Bay","Mean",0.243618843691272
"Residuals13",2,3.55410407205142,1.77705203602571,NA,NA,"Salinity","Residuals","Bay","Mean",NA
"Region4",1,40.4237029271601,40.4237029271601,3.49950886679964,0.134722387712754,"Salinity","Region","Region","Mean",0.538889550851014
"Residuals14",4,46.2050012910849,11.5512503227712,NA,NA,"Salinity","Residuals","Region","Mean",NA
"Habitat5",1,0.279606176344318,0.279606176344318,0.0800752910725071,0.791235834288156,"Salinity","Habitat","Habitat","Var",3.16494333715262
"Residuals15",4,13.9671637829521,3.49179094573803,NA,NA,"Salinity","Residuals","Habitat","Var",NA
"Bay5",3,13.0498365640677,4.3499455213559,7.26848384161685,0.123336366570879,"Salinity","Bay","Bay","Var",0.493345466283515
"Residuals16",2,1.19693339522876,0.598466697614378,NA,NA,"Salinity","Residuals","Bay","Var",NA
"Region5",1,1.98301787997332,1.98301787997332,0.646789943941127,0.466340773490763,"Salinity","Region","Region","Var",1.86536309396305
"Residuals17",4,12.2637520793231,3.06593801983078,NA,NA,"Salinity","Residuals","Region","Var",NA
"Habitat6",1,0.0116036607540589,0.0116036607540589,0.00565767481124487,0.942486842134886,"Temperature","Habitat","Habitat","Mean",3.76994736853954
"Residuals18",6,12.3057557825657,2.05095929709429,NA,NA,"Temperature","Residuals","Habitat","Mean",NA
"Bay6",3,12.3022865542933,4.10076218476442,1088.24849106119,2.8066083828825e-06,"Temperature","Bay","Bay","Mean",1.122643353153e-05
"Residuals19",4,0.0150728890265333,0.00376822225663334,NA,NA,"Temperature","Residuals","Bay","Mean",NA
"Region6",1,8.64497798598087,8.64497798598087,14.1243137507483,0.00941807903710538,"Temperature","Region","Region","Mean",0.0376723161484215
"Residuals20",6,3.67238145733893,0.612063576223154,NA,NA,"Temperature","Residuals","Region","Mean",NA
"Habitat7",1,0.329014971593276,0.329014971593276,0.0520598519097041,0.827094069698508,"Temperature","Habitat","Habitat","Var",3.30837627879403
"Residuals21",6,37.9196205356796,6.31993675594661,NA,NA,"Temperature","Residuals","Habitat","Var",NA
"Bay7",3,36.3670095295459,12.1223365098486,25.7699174083308,0.00446259172972053,"Temperature","Bay","Bay","Var",0.0178503669188821
"Residuals22",4,1.881625977727,0.470406494431751,NA,NA,"Temperature","Residuals","Bay","Var",NA
"Region7",1,16.2604651647732,16.2604651647732,4.43705817578032,0.079765177886396,"Temperature","Region","Region","Var",0.319060711545584
"Residuals23",6,21.9881703424998,3.6646950570833,NA,NA,"Temperature","Residuals","Region","Var",NA
