"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"Arachidonate.Bay",1,31.8411547083249,31.8411547083249,5.0553982106375,0.0279464420691645,"Arachidonate","Bay",0.391250188968303
"Arachidonate.Habitat",1,24.0157960618521,24.0157960618521,3.81297140603949,0.0551657783090225,"Arachidonate","Habitat",0.772320896326314
"Arachidonate.Bay:Habitat",1,6.3549182209483,6.3549182209483,1.00896599062502,0.318875463119606,"Arachidonate","Bay:Habitat",4.46425648367449
"Arachidonate.Residuals",65,409.39901661676,6.29844640948861,NA,NA,"Arachidonate","Residuals",NA
"Catalase.Bay",1,2.25536013919879e-05,2.25536013919879e-05,0.122767347426585,0.727239868681898,"Catalase","Bay",10.1813581615466
"Catalase.Habitat",1,0.000266090543316149,0.000266090543316149,1.44842633380173,0.233355826820225,"Catalase","Habitat",3.26698157548315
"Catalase.Bay:Habitat",1,3.52848937461839e-07,3.52848937461839e-07,0.00192068341288801,0.965184262717268,"Catalase","Bay:Habitat",13.5125796780418
"Catalase.Residuals",62,0.0113900260583495,0.000183710097715314,NA,NA,"Catalase","Residuals",NA
"Cytochrome.Bay",1,0.00134800393862136,0.00134800393862136,0.185066383659151,0.668477920093836,"Cytochrome","Bay",9.35869088131371
"Cytochrome.Habitat",1,0.0400672919634562,0.0400672919634562,5.50080649933103,0.0220705962311591,"Cytochrome","Habitat",0.308988347236227
"Cytochrome.Bay:Habitat",1,0.00180709701184502,0.00180709701184502,0.248094904860182,0.620100860419641,"Cytochrome","Bay:Habitat",8.68141204587497
"Cytochrome.Residuals",65,0.473453116000604,0.00728389409231698,NA,NA,"Cytochrome","Residuals",NA
"Glycogen.Bay",1,134.156641517479,134.156641517479,1.47151511916766,0.229496880505903,"Glycogen","Bay",3.21295632708264
"Glycogen.Habitat",1,534.821079973657,534.821079973657,5.86625676022364,0.0182318006424627,"Glycogen","Habitat",0.255245208994477
"Glycogen.Bay:Habitat",1,71.0979091557229,71.0979091557229,0.779846954131033,0.38044242471961,"Glycogen","Bay:Habitat",5.32619394607454
"Glycogen.Residuals",65,5925.98851690263,91.1690541061943,NA,NA,"Glycogen","Residuals",NA
"HSP70.Bay",1,0.859891414535682,0.859891414535682,1.09118609438996,0.309317479005479,"HSP70","Bay",4.3304447060767
"HSP70.Habitat",1,0.495299749276473,0.495299749276473,0.628526102051104,0.437684681838687,"HSP70","Habitat",6.12758554574162
"HSP70.Bay:Habitat",1,0.00127966150345105,0.00127966150345105,0.00162386647254285,0.968276599133,"HSP70","Bay:Habitat",13.555872387862
"HSP70.Residuals",19,14.9726402858092,0.788033699253117,NA,NA,"HSP70","Residuals",NA
"HSP90-alpha.Bay",1,10281.8997189339,10281.8997189339,0.530529106372828,0.46900053138632,"HSP90-alpha","Bay",6.56600743940847
"HSP90-alpha.Habitat",1,43408.2122280023,43408.2122280023,2.23979232166173,0.139339230503159,"HSP90-alpha","Habitat",1.95074922704422
"HSP90-alpha.Bay:Habitat",1,26.940064670616,26.940064670616,0.00139006300645091,0.970373192681113,"HSP90-alpha","Bay:Habitat",13.5852246975356
"HSP90-alpha.Residuals",65,1259730.09530045,19380.4630046223,NA,NA,"HSP90-alpha","Residuals",NA
"PDI.Bay",1,0.170217323068063,0.170217323068063,0.271893176010164,0.605013317511904,"PDI","Bay",8.47018644516665
"PDI.Habitat",1,0.761485528517333,0.761485528517333,1.21634340795953,0.276838694349325,"PDI","Habitat",3.87574172089055
"PDI.Bay:Habitat",1,0.0525227952721771,0.0525227952721771,0.0838962178589403,0.773619569924297,"PDI","Bay:Habitat",10.8306739789402
"PDI.Residuals",39,24.4157492183853,0.62604485175347,NA,NA,"PDI","Residuals",NA
"Peroxiredoxin-1.Bay",1,151.157008709869,151.157008709869,0.572881273836717,0.458400044143867,"Peroxiredoxin-1","Bay",6.41760061801413
"Peroxiredoxin-1.Habitat",1,575.884528004297,575.884528004297,2.18258792497803,0.1559643271363,"Peroxiredoxin-1","Habitat",2.1835005799082
"Peroxiredoxin-1.Bay:Habitat",1,55.7469476274874,55.7469476274874,0.211279534054835,0.650982371800464,"Peroxiredoxin-1","Bay:Habitat",9.1137532052065
"Peroxiredoxin-1.Residuals",19,5013.22577059148,263.853987925867,NA,NA,"Peroxiredoxin-1","Residuals",NA
"Puromycin-sensitive.Bay",1,0.14532310935123,0.14532310935123,1.31831286072762,0.255305900222453,"Puromycin-sensitive","Bay",3.57428260311434
"Puromycin-sensitive.Habitat",1,0.536861260804145,0.536861260804145,4.87018966015924,0.0310363042359247,"Puromycin-sensitive","Habitat",0.434508259302945
"Puromycin-sensitive.Bay:Habitat",1,0.00957197053737453,0.00957197053737453,0.0868330709290589,0.769226961983504,"Puromycin-sensitive","Bay:Habitat",10.7691774677691
"Puromycin-sensitive.Residuals",62,6.83451785094724,0.110234158886246,NA,NA,"Puromycin-sensitive","Residuals",NA
"Ras-related.Bay",1,224.529235884532,224.529235884532,0.569606255812158,0.459668728764294,"Ras-related","Bay",6.43536220270012
"Ras-related.Habitat",1,1033.63401274909,1033.63401274909,2.62221709151894,0.121856838669495,"Ras-related","Habitat",1.70599574137292
"Ras-related.Bay:Habitat",1,2.6475677901636,2.6475677901636,0.00671659158337629,0.9355398509942,"Ras-related","Bay:Habitat",13.0975579139188
"Ras-related.Residuals",19,7489.4814413923,394.183233757489,NA,NA,"Ras-related","Residuals",NA
"Sodium/potassium-transporting.Bay",1,0.183684669147091,0.183684669147091,0.11267963482874,0.738784905537034,"Sodium/potassium-transporting","Bay",10.3429886775185
"Sodium/potassium-transporting.Habitat",1,5.83573999889077,5.83573999889077,3.57987988373659,0.0653907580637577,"Sodium/potassium-transporting","Habitat",0.915470612892608
"Sodium/potassium-transporting.Bay:Habitat",1,0.661437604173298,0.661437604173298,0.405752685002585,0.527590181576769,"Sodium/potassium-transporting","Bay:Habitat",7.38626254207477
"Sodium/potassium-transporting.Residuals",42,68.4662859966078,1.6301496665859,NA,NA,"Sodium/potassium-transporting","Residuals",NA
"Superoxide.Bay",1,0.000658720031945714,0.000658720031945714,1.25662015693118,0.270900932186527,"Superoxide","Bay",3.79261305061137
"Superoxide.Habitat",1,0.000413421410487033,0.000413421410487033,0.788671442388651,0.38134115516011,"Superoxide","Habitat",5.33877617224154
"Superoxide.Bay:Habitat",1,0.000145554856819321,0.000145554856819321,0.277670570421433,0.601982884746654,"Superoxide","Bay:Habitat",8.42776038645316
"Superoxide.Residuals",31,0.0162501937261504,0.000524199797617754,NA,NA,"Superoxide","Residuals",NA
"Trifunctional.Bay",1,47.1773357327081,47.1773357327081,2.10994372481502,0.153775270975687,"Trifunctional","Bay",2.15285379365961
"Trifunctional.Habitat",1,103.619805725835,103.619805725835,4.63425828233449,0.0371307945721331,"Trifunctional","Habitat",0.519831124009864
"Trifunctional.Bay:Habitat",1,5.24780960868158,5.24780960868158,0.234701319625073,0.630576518097597,"Trifunctional","Bay:Habitat",8.82807125336635
"Trifunctional.Residuals",42,939.099975733928,22.3595232317602,NA,NA,"Trifunctional","Residuals",NA
